Function,RT,Violations,Cores
Sch,162.0,0.0,4306.3
dev,0.1,0.0,4.2
Prf,82.4,46.6,2305.0
dev,0.1,0.1,0.6
Geo,32.5,0.0,270.6
dev,0.0,0.0,0.1
Rat,37.8,0.0,268.0
dev,0.0,0.0,0.1
