Function;RT;Violations;Cores
Sch;131.7;0.0;1406.1
dev;0.0;0.0;1.0
Prf;36.0;0.0;420.8
dev;0.0;0.0;0.3
Geo;35.2;0.0;257.0
dev;0.0;0.0;0.1
Rat;34.7;0.0;283.4
dev;0.0;0.0;0.1
