Function,RT,Violations,Cores
Ord,317.1,0,2083.3
Cat,50.5,0,126.4
Shi,15.4,0,413.8
Use,24.1,0,153.6
Pay,13.8,0,605.4
Uti,58.8,0,510.5
Del,185.7,551,1526.6
