Function,RT,Violations,Cores
f1,2664.4,0,754.3
f2,272.7,0,1986.0
f15,58.2,0,2178.7
f16,220.3,0,901.4
f17,199.8,0,9697.7
f3,590.5,437,1984.0
f8,234.3,0,1599.6
f10,86.3,0,3641.1
f9,311.6,557,8122.8
f18,270.9,603,8915.0
f20,211.0,726,9786.7
f4,736.3,0,863.2
f12,115.6,0,3412.1
f11,35.0,0,2533.4
f5,474.6,166,1251.7
f13,424.4,538,3868.9
f21,126.7,0,1378.7
f23,97.9,0,4108.3
f22,332.2,746,1486.8
f24,300.6,843,9806.8
f25,63.3,0,2721.2
f6,645.1,0,1223.3
f14,171.9,0,4605.9
f19,103.6,0,6624.1
f7,193.1,0,531.8
