Function,RT,Violations,Cores
f1,2656.8,0,753.9
f2,272.3,0,1989.1
f15,58.2,0,2179.4
f16,220.0,0,901.2
f17,199.3,0,9702.3
f3,590.4,430,1986.9
f8,233.9,0,1598.6
f10,86.3,0,3641.6
f9,311.9,557,8124.4
f18,271.1,599,8921.3
f20,211.3,728,9787.0
f4,736.1,0,863.4
f12,115.5,0,3408.5
f11,35.0,0,2535.6
f5,474.0,157,1250.9
f13,423.7,535,3875.1
f21,126.7,0,1375.4
f23,97.9,0,4106.6
f22,331.6,745,1487.6
f24,299.9,847,9806.3
f25,63.3,0,2720.1
f6,644.5,0,1222.7
f14,171.9,0,4607.7
f19,103.6,0,6621.1
f7,187.2,0,631.2
