Function,RT,Violations,Cores
f1,2667.5,0,752.9
f2,272.5,0,1989.5
f15,58.2,0,2178.6
f16,220.2,0,900.6
f17,199.7,0,9701.1
f3,590.8,447,1990.1
f8,234.2,0,1597.0
f10,86.3,0,3639.5
f9,312.0,558,8116.8
f18,271.2,600,8920.3
f20,211.3,726,9787.1
f4,736.6,0,863.2
f12,115.6,0,3416.5
f11,35.0,0,2533.3
f5,474.8,162,1250.6
f13,424.5,538,3873.2
f21,126.7,0,1377.3
f23,97.9,0,4112.4
f22,332.4,748,1485.7
f24,300.8,844,9805.7
f25,63.3,0,2725.5
f6,645.3,0,1221.9
f14,172.0,0,4600.7
f19,103.6,0,6625.8
f7,195.3,0,509.3
