Function,RT,Violations,Cores
f1,2657.9,0,752.7
f2,272.4,0,1988.2
f15,58.2,0,2176.9
f16,220.0,0,901.3
f17,199.5,0,9698.0
f3,590.4,436,1988.7
f8,234.0,0,1595.4
f10,86.3,0,3640.4
f9,311.9,558,8117.1
f18,271.1,606,8916.0
f20,211.2,735,9786.3
f4,736.2,0,863.1
f12,115.6,0,3410.3
f11,35.0,0,2533.7
f5,474.3,168,1251.4
f13,424.0,537,3876.9
f21,126.7,0,1378.3
f23,97.9,0,4103.2
f22,331.9,745,1486.0
f24,300.2,853,9806.3
f25,63.3,0,2724.5
f6,644.8,0,1223.3
f14,172.0,0,4603.0
f19,103.6,0,6628.7
f7,187.5,0,625.4
