Function,RT,Violations,Cores
f1,2663.2,0,753.5
f2,272.9,0,1986.3
f15,58.2,0,2176.0
f16,220.6,0,901.2
f17,199.9,0,9699.1
f3,590.7,434,1988.7
f8,234.4,0,1597.1
f10,86.3,0,3640.3
f9,311.7,557,8122.2
f18,270.9,602,8918.8
f20,211.0,728,9787.3
f4,736.4,0,861.7
f12,115.6,0,3412.2
f11,35.0,0,2531.8
f5,473.5,139,1250.0
f13,423.2,526,3873.5
f21,126.7,0,1375.2
f23,97.9,0,4103.0
f22,331.1,748,1485.6
f24,299.4,847,9807.1
f25,63.3,0,2728.2
f6,644.0,0,1222.9
f14,172.0,0,4602.4
f19,103.6,0,6633.5
f7,193.9,0,523.1
