Function,RT,Violations,Cores
f1,2666.3,0,754.7
f2,272.6,0,1986.3
f15,58.2,0,2177.1
f16,220.2,0,899.9
f17,199.7,0,9700.4
f3,590.7,427,1991.3
f8,234.2,0,1597.6
f10,86.3,0,3641.6
f9,311.9,557,8117.7
f18,271.1,604,8922.8
f20,211.3,734,9786.8
f4,736.4,0,862.7
f12,115.6,0,3410.1
f11,35.0,0,2535.4
f5,474.3,159,1250.9
f13,424.0,537,3877.6
f21,126.7,0,1377.1
f23,97.9,0,4102.5
f22,331.9,748,1488.5
f24,300.3,850,9807.1
f25,63.3,0,2726.3
f6,644.9,0,1224.5
f14,172.0,0,4599.4
f19,103.6,0,6624.6
f7,195.3,0,508.9
