Function,RT,Violations,Cores
f1,2657.5,0,754.1
f2,272.6,0,1987.7
f15,58.2,0,2176.9
f16,220.3,0,900.5
f17,199.7,0,9701.5
f3,590.7,434,1984.8
f8,234.2,0,1597.8
f10,86.3,0,3641.9
f9,311.9,558,8119.1
f18,271.2,602,8920.0
f20,211.4,726,9786.2
f4,736.5,0,861.9
f12,115.6,0,3411.8
f11,35.0,0,2536.1
f5,473.8,151,1249.8
f13,423.5,532,3870.8
f21,126.7,0,1376.0
f23,97.9,0,4106.5
f22,331.4,745,1486.6
f24,299.8,852,9806.8
f25,63.3,0,2718.8
f6,644.4,0,1223.2
f14,172.0,0,4600.4
f19,103.6,0,6639.9
f7,187.4,0,625.5
