Function,RT,Violations,Cores
f1,2661.2,0,753.4
f2,272.5,0,1984.6
f15,58.2,0,2177.4
f16,220.2,0,901.3
f17,199.6,0,9702.0
f3,590.9,435,1985.7
f8,234.1,0,1595.1
f10,86.3,0,3644.3
f9,312.1,558,8115.6
f18,271.3,600,8913.6
f20,211.5,730,9787.3
f4,736.6,0,862.8
f12,115.6,0,3408.4
f11,35.0,0,2536.8
f5,474.0,146,1250.3
f13,423.7,536,3874.2
f21,126.7,0,1377.3
f23,97.9,0,4100.5
f22,331.6,747,1486.5
f24,300.0,852,9806.9
f25,63.3,0,2720.5
f6,644.5,0,1222.5
f14,171.9,0,4606.6
f19,103.6,0,6630.9
f7,190.4,0,569.7
