Function,RT,Violations,Cores
f1,2664.1,0,753.4
f2,272.6,0,1985.9
f15,58.2,0,2178.3
f16,220.3,0,901.1
f17,199.6,0,9701.3
f3,590.8,437,1988.0
f8,234.2,0,1598.3
f10,86.3,0,3635.8
f9,312.0,556,8125.6
f18,271.3,603,8913.2
f20,211.5,728,9786.9
f4,736.5,0,862.9
f12,115.6,0,3412.2
f11,35.0,0,2534.0
f5,473.9,162,1250.7
f13,423.6,534,3877.5
f21,126.7,0,1376.6
f23,97.9,0,4106.7
f22,331.5,745,1485.7
f24,299.8,841,9806.2
f25,63.3,0,2727.8
f6,644.4,0,1223.3
f14,171.9,0,4600.0
f19,103.6,0,6626.8
f7,193.9,0,523.9
