Function,RT,Violations,Cores
f1,2665.4,0,754.0
f2,272.8,0,1986.5
f15,58.2,0,2178.9
f16,220.5,0,899.8
f17,199.7,0,9700.3
f3,591.1,444,1986.8
f8,234.2,0,1599.9
f10,86.3,0,3640.4
f9,312.3,557,8120.2
f18,271.5,611,8917.7
f20,211.7,735,9785.6
f4,736.9,0,863.1
f12,115.6,0,3411.6
f11,35.0,0,2533.8
f5,474.0,147,1249.8
f13,423.7,532,3873.1
f21,126.6,0,1377.0
f23,97.9,0,4107.9
f22,331.6,745,1486.6
f24,300.0,844,9806.8
f25,63.3,0,2725.1
f6,644.6,0,1223.1
f14,172.0,0,4597.0
f19,103.6,0,6628.6
f7,194.2,0,520.9
