Function,RT,Violations,Cores
f1,1732.3,0,6688.9
f2,231.1,0,3712.8
f15,58.3,0,2175.7
f16,201.1,0,9282.2
f17,199.8,0,9700.7
f3,373.5,0,8994.6
f8,206.2,0,7627.3
f10,86.5,0,3633.3
f9,157.9,0,2476.2
f18,126.9,0,3060.6
f20,87.5,0,5702.1
f4,491.0,0,7014.0
f12,114.8,0,3456.3
f11,35.0,0,2531.5
f5,268.0,0,1789.0
f13,227.5,0,4012.4
f21,124.9,0,1563.1
f23,98.1,0,4106.7
f22,137.0,0,1997.7
f24,110.4,0,6976.0
f25,63.4,0,2715.7
f6,414.7,0,3575.2
f14,170.9,0,4698.3
f19,103.8,0,6628.3
f7,178.9,0,1626.1
