Function,RT,Violations,Cores
f1,1731.7,0,6686.2
f2,231.1,0,3680.7
f15,58.3,0,2175.0
f16,200.8,0,9253.7
f17,199.5,0,9699.7
f3,373.3,0,8985.3
f8,206.0,0,7522.6
f10,86.5,0,3636.3
f9,157.9,0,2478.6
f18,126.9,0,3055.1
f20,87.5,0,5705.2
f4,490.8,0,6998.8
f12,114.8,0,3456.6
f11,35.0,0,2532.3
f5,268.1,0,1789.9
f13,227.6,0,4014.4
f21,124.9,0,1562.7
f23,98.1,0,4098.0
f22,137.0,0,1995.1
f24,110.4,0,6973.0
f25,63.4,0,2719.1
f6,414.6,0,3575.9
f14,170.8,0,4697.1
f19,103.7,0,6616.8
f7,178.8,0,1623.7
