Function,RT,Violations,Cores
f1,1732.9,0,6688.9
f2,231.2,0,3718.4
f15,58.3,0,2175.2
f16,201.3,0,9273.3
f17,200.0,0,9699.1
f3,373.7,0,8991.9
f8,206.5,0,7625.8
f10,86.5,0,3633.2
f9,157.9,0,2476.8
f18,126.9,0,3057.5
f20,87.5,0,5709.3
f4,491.2,0,7014.6
f12,114.8,0,3452.9
f11,35.1,0,2529.9
f5,268.1,0,1789.0
f13,227.5,0,4019.5
f21,124.9,0,1562.5
f23,98.1,0,4099.4
f22,137.0,0,1996.1
f24,110.4,0,6977.7
f25,63.4,0,2716.0
f6,414.7,0,3576.4
f14,170.9,0,4692.8
f19,103.8,0,6615.7
f7,178.9,0,1626.6
