Function,RT,Violations,Cores
f1,1732.1,0,6687.9
f2,231.1,0,3691.6
f15,58.3,0,2173.6
f16,200.9,0,9265.4
f17,199.5,0,9701.1
f3,373.4,0,8991.0
f8,206.1,0,7561.7
f10,86.5,0,3632.6
f9,157.9,0,2477.1
f18,126.9,0,3055.8
f20,87.5,0,5703.5
f4,490.9,0,7006.6
f12,114.8,0,3453.4
f11,35.1,0,2531.7
f5,268.0,0,1788.1
f13,227.5,0,4010.8
f21,124.9,0,1560.5
f23,98.1,0,4096.6
f22,136.9,0,1998.5
f24,110.4,0,6981.6
f25,63.4,0,2720.6
f6,414.7,0,3574.6
f14,170.9,0,4693.1
f19,103.8,0,6617.2
f7,178.9,0,1623.9
