Function,RT,Violations,Cores
f1,1732.8,0,6687.8
f2,231.2,0,3702.7
f15,58.3,0,2175.0
f16,201.1,0,9269.8
f17,199.8,0,9699.2
f3,373.6,0,8989.5
f8,206.3,0,7586.0
f10,86.5,0,3640.7
f9,157.9,0,2476.5
f18,126.9,0,3058.6
f20,87.4,0,5694.9
f4,491.1,0,7007.1
f12,114.8,0,3452.1
f11,35.1,0,2529.8
f5,268.1,0,1786.3
f13,227.6,0,4010.6
f21,124.9,0,1561.3
f23,98.1,0,4101.2
f22,137.0,0,1996.1
f24,110.4,0,6984.3
f25,63.4,0,2716.5
f6,414.8,0,3574.6
f14,170.9,0,4690.9
f19,103.8,0,6619.7
f7,178.9,0,1622.1
