Function,RT,Violations,Cores
f1,1732.5,0,6688.2
f2,231.2,0,3714.5
f15,58.3,0,2176.5
f16,201.2,0,9289.4
f17,199.9,0,9698.9
f3,373.6,0,8995.8
f8,206.4,0,7625.4
f10,86.5,0,3635.6
f9,157.9,0,2476.4
f18,126.9,0,3058.9
f20,87.5,0,5704.1
f4,491.1,0,7012.0
f12,114.8,0,3453.7
f11,35.1,0,2533.3
f5,268.0,0,1788.3
f13,227.5,0,4008.1
f21,124.9,0,1563.6
f23,98.1,0,4101.3
f22,136.9,0,1995.2
f24,110.4,0,6984.5
f25,63.4,0,2716.3
f6,414.7,0,3574.4
f14,170.9,0,4696.0
f19,103.7,0,6616.3
f7,178.8,0,1624.1
