Function,RT,Violations,Cores
f1,1732.3,0,6688.8
f2,231.1,0,3712.3
f15,58.3,0,2173.8
f16,201.1,0,9286.2
f17,199.7,0,9701.0
f3,373.5,0,8994.7
f8,206.2,0,7606.6
f10,86.5,0,3628.8
f9,157.9,0,2475.8
f18,126.9,0,3058.6
f20,87.5,0,5709.7
f4,491.0,0,7010.6
f12,114.8,0,3451.1
f11,35.1,0,2528.4
f5,268.0,0,1787.9
f13,227.5,0,4016.4
f21,124.8,0,1563.8
f23,98.0,0,4099.6
f22,136.9,0,1996.7
f24,110.4,0,6979.9
f25,63.4,0,2719.8
f6,414.6,0,3576.6
f14,170.9,0,4692.3
f19,103.8,0,6616.4
f7,178.9,0,1621.1
