Function,RT,Violations,Cores
f1,1733.0,0,6689.5
f2,231.3,0,3726.6
f15,58.3,0,2177.0
f16,201.4,0,9282.3
f17,200.1,0,9700.5
f3,373.8,0,8996.3
f8,206.5,0,7655.0
f10,86.5,0,3633.8
f9,157.9,0,2477.0
f18,126.9,0,3055.0
f20,87.5,0,5707.3
f4,491.3,0,7018.7
f12,114.8,0,3452.6
f11,35.0,0,2531.3
f5,268.0,0,1789.4
f13,227.5,0,4013.4
f21,124.9,0,1561.4
f23,98.1,0,4090.3
f22,137.0,0,1994.9
f24,110.4,0,6979.4
f25,63.4,0,2720.6
f6,414.7,0,3576.5
f14,170.9,0,4684.3
f19,103.8,0,6611.1
f7,178.9,0,1623.4
