Function,RT,Violations,Cores
f1,1731.8,0,6685.6
f2,231.1,0,3684.1
f15,58.3,0,2173.6
f16,200.8,0,9263.3
f17,199.5,0,9699.5
f3,373.3,0,8984.7
f8,206.1,0,7525.5
f10,86.5,0,3633.1
f9,157.9,0,2475.7
f18,127.0,0,3054.8
f20,87.5,0,5696.2
f4,490.8,0,6995.8
f12,114.8,0,3455.2
f11,35.1,0,2527.1
f5,268.0,0,1789.5
f13,227.5,0,4013.4
f21,124.9,0,1562.4
f23,98.1,0,4100.3
f22,137.0,0,1996.2
f24,110.4,0,6975.9
f25,63.4,0,2719.1
f6,414.6,0,3576.7
f14,170.9,0,4691.8
f19,103.7,0,6613.7
f7,178.8,0,1624.0
