Function,RT,Violations,Cores
Sch,133.3,0.0,2186.0
dev,0.0,0.0,1.9
Prf,45.7,0.0,348.9
dev,0.0,0.0,0.3
Geo,32.5,0.0,270.6
dev,0.0,0.0,0.1
Rat,37.8,0.0,267.9
dev,0.0,0.0,0.2
