Function,RT,Violations,Cores
f1,2204.0,0,7651.8
f2,231.2,0,3696.1
f15,58.3,0,2174.5
f16,200.9,0,9277.7
f17,199.6,0,9699.8
f3,517.8,59,9584.6
f8,206.1,0,7558.0
f10,86.5,0,3638.5
f9,303.0,550,9640.2
f18,267.5,599,9707.4
f20,211.2,726,9785.7
f4,634.7,0,9083.6
f12,114.8,0,3453.5
f11,35.1,0,2529.8
f5,350.1,0,7857.9
f13,343.1,50,9449.0
f21,124.9,0,1564.5
f23,98.1,0,4105.8
f22,304.3,626,9731.5
f24,300.0,844,9806.2
f25,63.4,0,2716.4
f6,520.7,0,7590.1
f14,170.9,0,4691.5
f19,103.8,0,6618.0
f7,178.9,0,1622.0
