Function,RT,Violations,Cores
f1,2204.1,0,7653.1
f2,231.2,0,3699.4
f15,58.3,0,2175.7
f16,201.1,0,9267.4
f17,199.7,0,9700.5
f3,517.9,65,9585.5
f8,206.2,0,7572.1
f10,86.5,0,3634.6
f9,303.0,550,9640.1
f18,267.5,595,9706.8
f20,211.1,733,9785.2
f4,634.8,0,9084.9
f12,114.8,0,3455.0
f11,35.1,0,2530.7
f5,350.0,0,7862.6
f13,342.9,47,9455.9
f21,124.9,0,1561.8
f23,98.1,0,4097.7
f22,304.1,627,9731.8
f24,299.9,849,9806.3
f25,63.4,0,2722.8
f6,520.6,0,7589.5
f14,170.9,0,4693.3
f19,103.8,0,6620.3
f7,178.9,0,1623.2
