Function,RT,Violations,Cores
f1,2204.1,0,7651.4
f2,231.3,0,3682.7
f15,58.3,0,2177.9
f16,200.9,0,9256.0
f17,199.6,0,9699.0
f3,518.0,60,9584.5
f8,206.2,0,7513.8
f10,86.5,0,3634.6
f9,303.1,553,9640.2
f18,267.6,598,9707.9
f20,211.3,734,9787.0
f4,634.9,0,9083.0
f12,114.8,0,3455.7
f11,35.1,0,2529.2
f5,349.9,0,7869.7
f13,342.9,47,9452.4
f21,124.9,0,1565.4
f23,98.1,0,4099.2
f22,304.0,627,9732.2
f24,299.8,853,9806.2
f25,63.4,0,2720.0
f6,520.5,0,7591.1
f14,170.9,0,4694.3
f19,103.8,0,6627.6
f7,178.9,0,1623.8
