Function,RT,Violations,Cores
f1,2205.5,0,7654.0
f2,231.1,0,3710.3
f15,58.3,0,2176.3
f16,201.1,0,9283.7
f17,199.8,0,9698.6
f3,518.2,66,9585.0
f8,206.3,0,7607.3
f10,86.5,0,3638.3
f9,303.3,551,9640.1
f18,267.7,599,9706.6
f20,211.4,735,9784.2
f4,635.1,0,9087.1
f12,114.8,0,3450.7
f11,35.1,0,2530.5
f5,350.4,0,7857.1
f13,343.4,53,9452.5
f21,124.9,0,1564.3
f23,98.1,0,4096.6
f22,304.6,629,9732.2
f24,300.3,844,9806.4
f25,63.4,0,2721.9
f6,521.0,0,7585.3
f14,170.8,0,4692.5
f19,103.7,0,6624.5
f7,178.8,0,1624.2
