Function,RT,Violations,Cores
f1,2204.3,0,7652.6
f2,231.3,0,3693.5
f15,58.3,0,2174.9
f16,201.1,0,9265.6
f17,199.8,0,9697.7
f3,518.1,63,9584.3
f8,206.3,0,7566.6
f10,86.5,0,3636.4
f9,303.1,551,9642.0
f18,267.6,602,9708.5
f20,211.3,732,9786.7
f4,635.0,0,9082.4
f12,114.8,0,3457.2
f11,35.1,0,2529.0
f5,350.0,0,7872.9
f13,342.9,48,9459.0
f21,124.9,0,1563.7
f23,98.1,0,4099.5
f22,304.2,628,9732.9
f24,299.9,845,9806.7
f25,63.4,0,2718.1
f6,520.5,0,7593.8
f14,170.9,0,4700.7
f19,103.8,0,6619.9
f7,178.8,0,1625.0
