Function,RT,Violations,Cores
f1,2204.5,0,7652.4
f2,231.2,0,3711.0
f15,58.3,0,2174.6
f16,201.3,0,9276.0
f17,199.9,0,9699.0
f3,518.3,55,9585.4
f8,206.4,0,7621.5
f10,86.5,0,3635.0
f9,303.2,552,9641.8
f18,267.7,603,9708.7
f20,211.3,735,9787.1
f4,635.2,0,9087.5
f12,114.8,0,3455.8
f11,35.1,0,2530.4
f5,349.9,0,7838.7
f13,342.8,50,9450.8
f21,124.9,0,1562.8
f23,98.1,0,4102.9
f22,304.0,624,9732.6
f24,299.8,841,9806.8
f25,63.4,0,2721.3
f6,520.5,0,7566.2
f14,170.8,0,4694.4
f19,103.8,0,6627.9
f7,178.8,0,1626.0
