Function,RT,Violations,Cores
f1,2205.4,0,7653.0
f2,231.3,0,3711.4
f15,58.3,0,2173.6
f16,201.2,0,9279.7
f17,199.9,0,9701.4
f3,518.2,69,9585.5
f8,206.4,0,7606.0
f10,86.5,0,3635.1
f9,303.2,551,9640.3
f18,267.6,600,9707.4
f20,211.3,730,9785.9
f4,635.1,0,9086.4
f12,114.8,0,3457.7
f11,35.1,0,2532.6
f5,350.3,0,7854.1
f13,343.3,49,9450.8
f21,124.9,0,1562.2
f23,98.1,0,4096.5
f22,304.4,621,9731.5
f24,300.2,848,9805.8
f25,63.4,0,2719.9
f6,521.0,0,7580.4
f14,170.9,0,4692.7
f19,103.8,0,6619.0
f7,178.9,0,1623.4
