Function,RT,Violations,Cores
f1,2203.3,0,7649.6
f2,231.2,0,3689.0
f15,58.3,0,2173.3
f16,200.8,0,9276.4
f17,199.5,0,9700.6
f3,517.7,58,9584.7
f8,206.0,0,7551.4
f10,86.5,0,3635.7
f9,303.0,551,9638.9
f18,267.5,599,9705.9
f20,211.1,728,9785.0
f4,634.6,0,9082.1
f12,114.8,0,3455.9
f11,35.1,0,2528.8
f5,349.9,0,7859.0
f13,342.8,51,9450.3
f21,124.9,0,1561.4
f23,98.1,0,4103.1
f22,304.0,621,9731.5
f24,299.7,851,9805.8
f25,63.4,0,2717.4
f6,520.4,0,7578.9
f14,170.9,0,4692.6
f19,103.8,0,6617.6
f7,178.9,0,1623.8
