Function,RT,Violations,Cores
f1,2205.3,0,7654.3
f2,231.2,0,3715.7
f15,58.3,0,2174.1
f16,201.2,0,9281.3
f17,199.8,0,9699.6
f3,518.2,63,9585.3
f8,206.3,0,7625.0
f10,86.5,0,3632.1
f9,303.2,552,9640.2
f18,267.7,601,9706.7
f20,211.4,727,9785.3
f4,635.1,0,9086.5
f12,114.8,0,3456.7
f11,35.1,0,2529.4
f5,350.4,0,7860.4
f13,343.3,51,9452.8
f21,124.8,0,1562.5
f23,98.1,0,4095.2
f22,304.5,629,9733.3
f24,300.3,849,9807.3
f25,63.4,0,2717.6
f6,521.0,0,7593.4
f14,170.8,0,4693.4
f19,103.8,0,6622.7
f7,178.8,0,1620.8
