Function,RT,Violations,Cores
f1,2206.3,0,7657.5
f2,231.2,0,3730.0
f15,58.3,0,2174.9
f16,201.4,0,9280.8
f17,200.1,0,9701.8
f3,518.5,62,9585.5
f8,206.5,0,7667.4
f10,86.5,0,3635.9
f9,303.3,551,9639.9
f18,267.7,600,9706.9
f20,211.4,730,9785.3
f4,635.4,0,9086.2
f12,114.8,0,3452.1
f11,35.1,0,2528.5
f5,350.6,0,7872.1
f13,343.5,47,9457.4
f21,124.9,0,1561.9
f23,98.1,0,4098.2
f22,304.7,629,9733.7
f24,300.5,848,9807.3
f25,63.4,0,2719.0
f6,521.1,0,7604.9
f14,170.9,0,4697.4
f19,103.8,0,6617.1
f7,178.9,0,1623.1
