Function,RT,Violations,Cores
Ord,291.3,0,788.7
Cat,72.4,0,87.6
Shi,20.6,0,312.1
Use,29.7,0,126.9
Pay,14.4,0,578.0
Uti,79.0,0,372.1
Del,92.0,0,449.5
