Function,RT,Violations,Cores
Ord,291.3,0.0,788.2
dev,0.0,0.0,0.6
Cat,72.4,0.0,87.6
dev,0.0,0.0,0.1
Shi,20.6,0.0,312.1
dev,0.0,0.0,0.1
Use,29.7,0.0,127.0
dev,0.0,0.0,0.1
Pay,14.4,0.0,578.1
dev,0.0,0.0,0.6
Uti,79.0,0.0,372.2
dev,0.0,0.0,0.4
Del,92.0,0.0,449.6
dev,0.0,0.0,0.3
