Function,RT,Violations,Cores
Ord,384.5,0,788.8
Cat,72.4,0,87.6
Shi,20.6,0,312.1
Use,29.7,0,127.0
Pay,14.4,0,578.6
Uti,79.0,0,372.5
Del,185.2,551,1529.8
