Function,RT,Violations,Cores
Ord,211.3,0,1132.5
Cat,50.6,0,126.4
Shi,15.4,0,413.8
Use,24.1,0,153.5
Pay,13.7,0,605.4
Uti,58.9,0,510.5
Del,67.9,0,627.5
