Function,RT,Violations,Cores
Ord,211.2,0.0,1132.5
dev,0.1,0.0,0.0
Cat,50.6,0.0,126.4
dev,0.0,0.0,0.0
Shi,15.4,0.0,413.8
dev,0.0,0.0,0.0
Use,24.1,0.0,153.7
dev,0.0,0.0,0.1
Pay,13.7,0.0,605.4
dev,0.0,0.0,0.0
Uti,58.8,0.0,510.5
dev,0.0,0.0,0.0
Del,67.8,0.0,627.5
dev,0.0,0.0,0.0
