Function,RT,Violations,Cores
f1,1989.3,0,754.0
f2,272.7,0,1984.1
f15,58.2,0,2180.2
f16,220.3,0,901.0
f17,199.7,0,9700.2
f3,439.2,0,1991.8
f8,234.2,0,1597.1
f10,86.3,0,3641.7
f9,160.3,0,2343.1
f18,128.3,0,2910.6
f20,87.3,0,5720.9
f4,584.9,0,863.5
f12,115.6,0,3409.5
f11,35.0,0,2531.5
f5,285.5,0,1251.2
f13,235.2,0,3871.7
f21,126.7,0,1376.9
f23,97.9,0,4104.3
f22,141.9,0,1485.6
f24,110.3,0,6988.7
f25,63.3,0,2723.7
f6,456.0,0,1222.2
f14,172.0,0,4602.2
f19,103.6,0,6623.2
f7,195.2,0,509.1
