Function,RT,Violations,Cores
f1,1987.9,0,753.9
f2,272.7,0,1985.2
f15,58.2,0,2174.4
f16,220.4,0,899.7
f17,199.6,0,9700.2
f3,439.1,0,1985.6
f8,234.2,0,1597.4
f10,86.3,0,3645.6
f9,160.4,0,2347.3
f18,128.3,0,2909.6
f20,87.4,0,5711.5
f4,584.9,0,862.7
f12,115.5,0,3407.1
f11,35.0,0,2533.7
f5,285.4,0,1249.9
f13,235.1,0,3869.7
f21,126.7,0,1376.9
f23,97.9,0,4100.1
f22,141.8,0,1487.5
f24,110.2,0,6989.6
f25,63.3,0,2720.8
f6,455.9,0,1222.2
f14,172.0,0,4604.2
f19,103.6,0,6627.9
f7,194.1,0,521.2
