Function,RT,Violations,Cores
f1,1980.5,0,752.9
f2,272.2,0,1986.2
f15,58.2,0,2181.0
f16,219.9,0,900.5
f17,199.3,0,9700.2
f3,438.7,0,1987.7
f8,233.8,0,1597.3
f10,86.3,0,3639.9
f9,160.3,0,2344.5
f18,128.3,0,2915.9
f20,87.3,0,5721.1
f4,584.5,0,862.9
f12,115.6,0,3412.8
f11,35.0,0,2532.6
f5,285.4,0,1251.1
f13,235.2,0,3873.6
f21,126.7,0,1375.6
f23,97.9,0,4104.1
f22,141.9,0,1485.8
f24,110.2,0,6980.2
f25,63.3,0,2719.2
f6,456.0,0,1222.8
f14,172.0,0,4608.4
f19,103.6,0,6637.3
f7,187.4,0,625.2
