Function,RT,Violations,Cores
f1,1985.2,0,753.4
f2,272.5,0,1987.0
f15,58.2,0,2181.1
f16,220.2,0,901.1
f17,199.6,0,9701.8
f3,439.1,0,1986.7
f8,234.2,0,1598.3
f10,86.3,0,3641.9
f9,160.3,0,2344.6
f18,128.3,0,2911.1
f20,87.3,0,5710.8
f4,584.8,0,862.9
f12,115.6,0,3412.5
f11,35.0,0,2531.9
f5,285.4,0,1251.2
f13,235.1,0,3874.5
f21,126.6,0,1377.6
f23,97.9,0,4111.3
f22,141.9,0,1486.0
f24,110.2,0,6991.8
f25,63.3,0,2719.6
f6,455.9,0,1223.4
f14,172.0,0,4600.7
f19,103.6,0,6631.4
f7,191.5,0,553.5
