Function,RT,Violations,Cores
f1,1983.9,0,753.9
f2,272.1,0,1986.5
f15,58.2,0,2178.6
f16,219.8,0,901.9
f17,199.4,0,9701.2
f3,438.8,0,1986.3
f8,233.9,0,1596.2
f10,86.3,0,3644.2
f9,160.3,0,2344.5
f18,128.3,0,2915.1
f20,87.3,0,5715.1
f4,584.5,0,862.5
f12,115.6,0,3409.9
f11,35.0,0,2534.9
f5,285.4,0,1251.0
f13,235.1,0,3870.3
f21,126.7,0,1378.2
f23,97.9,0,4105.3
f22,141.9,0,1486.8
f24,110.2,0,6985.6
f25,63.3,0,2721.7
f6,455.9,0,1223.8
f14,171.9,0,4597.2
f19,103.6,0,6624.0
f7,190.8,0,562.2
