Function,RT,Violations,Cores
f1,1988.2,0,753.6
f2,272.5,0,1989.8
f15,58.2,0,2176.4
f16,220.2,0,901.2
f17,199.6,0,9701.8
f3,439.1,0,1987.6
f8,234.1,0,1596.8
f10,86.3,0,3647.7
f9,160.4,0,2347.9
f18,128.3,0,2912.7
f20,87.4,0,5712.7
f4,584.8,0,862.8
f12,115.6,0,3408.8
f11,35.0,0,2532.7
f5,285.5,0,1251.5
f13,235.2,0,3878.8
f21,126.7,0,1378.3
f23,97.9,0,4101.7
f22,141.9,0,1486.1
f24,110.2,0,6990.3
f25,63.3,0,2723.5
f6,456.0,0,1223.2
f14,172.0,0,4599.7
f19,103.6,0,6619.4
f7,194.4,0,518.4
