Function,RT,Violations,Cores
f1,1988.6,0,753.2
f2,272.6,0,1986.2
f15,58.2,0,2179.3
f16,220.3,0,900.1
f17,199.6,0,9702.1
f3,439.0,0,1987.5
f8,234.1,0,1596.8
f10,86.3,0,3639.4
f9,160.3,0,2344.3
f18,128.3,0,2912.4
f20,87.3,0,5715.4
f4,584.8,0,863.5
f12,115.6,0,3411.8
f11,35.0,0,2535.4
f5,285.4,0,1250.0
f13,235.1,0,3875.0
f21,126.7,0,1377.1
f23,97.9,0,4109.0
f22,141.9,0,1487.3
f24,110.2,0,6985.8
f25,63.3,0,2721.9
f6,455.9,0,1223.1
f14,172.0,0,4605.1
f19,103.6,0,6632.3
f7,195.0,0,511.7
