Function,RT,Violations,Cores
f1,1982.6,0,753.3
f2,272.7,0,1989.0
f15,58.2,0,2180.8
f16,220.4,0,899.3
f17,199.9,0,9701.8
f3,439.3,0,1989.8
f8,234.4,0,1598.2
f10,86.3,0,3647.2
f9,160.3,0,2342.0
f18,128.3,0,2911.2
f20,87.3,0,5713.1
f4,585.1,0,862.5
f12,115.6,0,3410.8
f11,35.0,0,2535.4
f5,285.4,0,1251.9
f13,235.1,0,3873.8
f21,126.7,0,1378.3
f23,97.9,0,4102.2
f22,141.9,0,1487.3
f24,110.2,0,6993.9
f25,63.3,0,2720.7
f6,456.0,0,1222.4
f14,172.0,0,4601.8
f19,103.6,0,6625.1
f7,188.2,0,610.8
