Function,RT,Violations,Cores
f1,1987.5,0,753.8
f2,272.3,0,1984.6
f15,58.2,0,2175.5
f16,220.0,0,899.9
f17,199.4,0,9698.9
f3,438.9,0,1989.2
f8,234.0,0,1594.4
f10,86.3,0,3646.7
f9,160.4,0,2346.0
f18,128.3,0,2910.6
f20,87.4,0,5713.6
f4,584.7,0,864.0
f12,115.6,0,3409.5
f11,35.0,0,2531.2
f5,285.4,0,1250.9
f13,235.1,0,3870.0
f21,126.7,0,1376.6
f23,97.9,0,4102.6
f22,141.9,0,1487.3
f24,110.2,0,6993.0
f25,63.3,0,2723.6
f6,455.9,0,1222.0
f14,171.9,0,4603.0
f19,103.6,0,6633.7
f7,194.2,0,520.1
