Function,RT,Violations,Cores
f1,1988.7,0,752.9
f2,272.7,0,1988.0
f15,58.2,0,2176.4
f16,220.4,0,900.8
f17,199.7,0,9701.6
f3,439.2,0,1986.8
f8,234.3,0,1597.4
f10,86.3,0,3638.2
f9,160.3,0,2341.4
f18,128.3,0,2911.7
f20,87.3,0,5710.4
f4,584.9,0,862.7
f12,115.6,0,3409.1
f11,35.0,0,2535.7
f5,285.4,0,1251.2
f13,235.1,0,3874.0
f21,126.7,0,1378.1
f23,97.9,0,4108.5
f22,141.9,0,1485.7
f24,110.2,0,6993.8
f25,63.3,0,2722.3
f6,455.9,0,1221.7
f14,172.0,0,4603.8
f19,103.6,0,6629.4
f7,194.8,0,513.8
